Board_Action_Indicator,Business_Name,County,County_Description,Email,Expire_Date,License_Active_Status_Description,License_Number,License_Status_Description,Mailing_Address_Area_Code,Mailing_Address_City,Mailing_Address_Line1,Mailing_Address_Phone_Extension,Mailing_Address_Phone_Number,Mailing_Address_State,Mailing_Address_ZIPcode,Mailing_Address_line2,Original_Date,Practice_Location_Address_City,Practice_Location_Address_Line1,Practice_Location_Address_State,Practice_Location_Address_ZIPcode,Practice_Location_Address_line2,Prescribe_Ind,Profession_Name,Rank_Code,Status_Effective_Date,address,address_administrative_area_level_1,address_administrative_area_level_2,address_country,address_formatted_address,address_lat,address_locality,address_lon,address_msg,address_neighborhood,address_postal_code,address_postal_code_suffix,address_route,address_street_number,address_subpremise,id,norm_id,index,lic_id,labels,correct_labels
N,Beyond Beauty Studio,62,PINELLAS,beyondbeautystudiostpete@gmail.com,8/31/19,,36775,CLEAR,727,ST PETERSBURG,3030 Dr M.L.K Jr st N,,592-4738,FL,33704,,6/30/17,SAINT PETERSBURG,3030 Dr. M.L.K Jr. St. N.,FL,33704,,N,Massage Establishment,MM,6/30/17,"3030 Dr. M.L.K Jr. St. N., SAINT PETERSBURG, FL 33704",Florida,Pinellas County,United States,"3030 Dr M.L.K. Jr St N, St. Petersburg, FL 33704, USA",27.8001352,St. Petersburg,-82.6470079,OK,Magnolia Heights,33704,,Doctor Martin Luther King Junior Street North,3030,,27.80014:-82.64701,27.80014:-82.64701#,massage,37689,1,0.5
N,sakura beauty massage llc,23,MIAMI-DADE,rubby390@hotmail.com,8/31/19,,36410,CLEAR,305,MIAMI,8293 s dixie hwy,,663-7168,FL,33143,,3/24/17,MIAMI,8293 s dixie hwy,FL,33143,,N,Massage Establishment,MM,3/24/17,"8293 s dixie hwy, MIAMI, FL 33143",Florida,Miami-Dade County,United States,"8293 S Dixie Hwy, South Miami, FL 33143, USA",25.693424,South Miami,-80.3019195,OK,,33143,7717,South Dixie Highway,8293,,25.69342:-80.30192,25.69342:-80.30192#,massage,37125,1,0.5
N,KIM'S SPA LLC,74,VOLUSIA,soonhee1979@gmail.com,8/31/19,,38506,CLEAR,347,HOLLY HILL,1702  RIDGEWOOD AVE #A,,759-9822,FL,32117,,9/11/18,HOLLY HILL,1702  RIDGEWOOD AVE #A,FL,32117,,N,Massage Establishment,MM,9/11/18,"1702  RIDGEWOOD AVE #A, HOLLY HILL, FL 32117",Florida,Volusia County,United States,"1702 Ridgewood Ave A, Holly Hill, FL 32117, USA",29.2587986,Holly Hill,-81.0491457,OK,Rio Vista Mb,32117,,Ridgewood Avenue,1702,A,29.25880:-81.04915,29.25880:-81.04915#A,massage,40249,1,0.5
N,"PARADISE POINT MASSAGE, LLC DBA SIMPLY SERENE MASSAGE",62,PINELLAS,,8/31/11,,23150,Null & Void,407,REDINGTON BEACH,15808 3RD ST EAST,,731-0744,FL,33708,,5/26/09,SAINT PETE BEACH,9524 BLIND PASS RD,FL,33706,STE 20,N,Massage Establishment,MM,3/15/12,"9524 BLIND PASS RD, SAINT PETE BEACH, FL 33706",Florida,Pinellas County,United States,"9524 Blind Pass Rd, St Pete Beach, FL 33706, USA",27.7558348,St. Pete Beach,-82.7596909,OK,,33706,,Blind Pass Road,9524,,27.75583:-82.75969,27.75583:-82.75969#,massage,22593,1,0.5
N,EMERALD COAST MASSAGE SPECIALISTS,27,ESCAMBIA,ecmsofgb@att.net,8/31/19,,30773,CLEAR,850,GULF BREEZE,427 Vancouver Street,,380-6030,FL,32507,,5/3/13,GULF BREEZE,3076 GULF BREEZE PKWY,FL,32563,,N,Massage Establishment,MM,12/18/13,"3076 GULF BREEZE PKWY, GULF BREEZE, FL 32563",Florida,Santa Rosa County,United States,"3076 Gulf Breeze Pkwy, Gulf Breeze, FL 32563, USA",30.3862392,Gulf Breeze,-87.0964273,OK,,32563,,Gulf Breeze Parkway,3076,,30.38624:-87.09643,30.38624:-87.09643#,massage,30726,1,0.5
N,JASMINE MASSAGE AND SPA INC,59,OSCEOLA,yvonneyancpa@gmail.com,8/31/19,,32035,CLEAR,407,KISSIMMEE,5741 W IRLO BRONSON MEMORIAL HWY,,507-3951,FL,34746,,2/13/14,KISSIMMEE,5741 W IRLO BRONSON MEMORIAL HWY,FL,34746,,N,Massage Establishment,MM,2/13/14,"5741 W IRLO BRONSON MEMORIAL HWY, KISSIMMEE, FL 34746",Florida,Osceola County,United States,"5741 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, USA",28.333475,Kissimmee,-81.514553,OK,,34746,,West Irlo Bronson Memorial Highway,5741,,28.33348:-81.51455,28.33348:-81.51455#,massage,32090,1,0.517241379
N,SERENDIPITY WELLNESS SPA,62,PINELLAS,jaugust84@yahoo.com,8/31/19,,35101,CLEAR,,PINELLAS PARK,4930 PARK BLVD N SUITE 7,,,FL,33781,,4/13/16,PINELLAS PARK,4930 PARK BLVD N SUITE 7,FL,33781,,N,Massage Establishment,MM,4/13/16,"4930 PARK BLVD N SUITE 7, PINELLAS PARK, FL 33781",Florida,Pinellas County,United States,"4930 Park Blvd N #7, Pinellas Park, FL 33781, USA",27.8387721,Pinellas Park,-82.7006095,OK,,33781,3410,Park Boulevard North,4930,7,27.83877:-82.70061,27.83877:-82.70061#7,massage,35547,1,0.555555556
N,YANLI MASSAGE THERAPY INC.,16,BROWARD,aiyishe@163.com,8/31/21,,33998,CLEAR,917,MARGATE,7540 NW 6th CT,,325-0280,FL,33063,,7/27/15,MARGATE,5140 COCONUT CREEK PKWY,FL,33063,,N,Massage Establishment,MM,7/27/15,"5140 COCONUT CREEK PKWY, MARGATE, FL 33063",Florida,Broward County,United States,"5140 Coconut Creek Pkwy, Margate, FL 33063, USA",26.2434808,Margate,-80.2005014,OK,,33063,,Coconut Creek Parkway,5140,,26.24348:-80.20050,26.24348:-80.20050#,massage,34344,1,0.571428571
N,MEI ASIAN MASSAGE INC,23,MIAMI-DADE,rumei.liu@yahoo.com,8/31/19,,32545,CLEAR,786,MIAMI,8746 SW 72ND ST,,534-5602,FL,33173,,5/21/14,MIAMI,8746 SW 72 ST,FL,33173,,N,Massage Establishment,MM,5/21/14,"8746 SW 72 ST, MIAMI, FL 33173",Florida,Miami-Dade County,United States,"8746 SW 72nd St, Miami, FL 33173, USA",25.701077,Miami,-80.3354094,OK,,33173,,Southwest 72nd Street,8746,,25.70108:-80.33541,25.70108:-80.33541#,massage,32447,1,0.6
N,JJ EAST AMERICA LLC,53,MARTIN,tonylu95@yahoo.com,8/31/17,,32096,Null & Void,,STUART,1928 SE FEDERAL HWY,,,FL,34994,,2/21/14,STUART,2317 NW FEDERAL HWY,FL,34994,,N,Massage Establishment,MM,3/15/18,"2317 NW FEDERAL HWY, STUART, FL 34994",Florida,Martin County,United States,"2317 NW Federal Hwy, Stuart, FL 34994, USA",27.2333956,Stuart,-80.2672248,OK,,34994,,Northwest Federal Highway,2317,,27.23340:-80.26722,27.23340:-80.26722#,massage,32112,1,0.611111111
N,OCEAN MASSAGE INC.,39,HILLSBOROUGH,oceanmassagetampa@gmail.com,8/31/19,,33177,CLEAR,,TAMPA,6821 W. HILLSBOROUGH AVE,,,FL,33634,SUITE 19,12/16/14,TAMPA,6821 W. HILLSBOROUGH AVE,FL,33634,SUITE 19,N,Massage Establishment,MM,12/16/14,"6821 W. HILLSBOROUGH AVE, TAMPA, FL 33634",Florida,Hillsborough County,United States,"6821 W Hillsborough Ave, Tampa, FL 33634, USA",27.9973147,Tampa,-82.5560963,OK,Town N Country Alliance,33634,5003,West Hillsborough Avenue,6821,,27.99731:-82.55610,27.99731:-82.55610#,massage,33361,1,0.615384615
N,ASIAMI MASSAGE,23,MIAMI-DADE,yunichen@yahoo.com,8/31/21,,22413,CLEAR,305,MIAMI,11610 N. KENDALL DR.,,596-1188,FL,33176,,12/17/08,MIAMI,11610 N KENDALL DR,FL,33176,,N,Massage Establishment,MM,12/17/08,"11610 N KENDALL DR, MIAMI, FL 33176",Florida,Miami-Dade County,United States,"11610 N Kendall Dr, Miami, FL 33176, USA",25.6858489,Miami,-80.3838443,OK,,33176,1005,North Kendall Drive,11610,,25.68585:-80.38384,25.68585:-80.38384#,massage,21608,1,0.622641509
N,WhitMA,69,SEMINOLE,robsjoy09@yahoo.com,8/31/21,,37840,CLEAR,407,MAITLAND,212 Summerwood trail,,716-1922,FL,32751,,3/22/18,WINTER PARK,801 fairbanks ave,FL,32792,,N,Massage Establishment,MM,3/22/18,"801 fairbanks ave, WINTER PARK, FL 32792",Florida,Orange County,United States,"801 W Fairbanks Ave, Winter Park, FL 32789, USA",28.593378,Winter Park,-81.359688,OK,,32789,4714,West Fairbanks Avenue,801,,28.59338:-81.35969,28.59338:-81.35969#,massage,38904,1,0.642857143
N,TROPICAL SPA INC,16,BROWARD,angel@jalaccounting.com,8/31/19,,36918,CLEAR,,HOLLYWOOD,3363 SHERIDAN ST,,,FL,33021,SUITE 214,8/10/17,FORT LAUDERDALE,2921 STIRLING ROAD,FL,33312,,N,Massage Establishment,MM,8/10/17,"2921 STIRLING ROAD, FORT LAUDERDALE, FL 33312",Florida,Broward County,United States,"2921 Stirling Rd, Fort Lauderdale, FL 33312, USA",26.0480373,Fort Lauderdale,-80.1812073,OK,,33312,6528,Stirling Road,2921,,26.04804:-80.18121,26.04804:-80.18121#,massage,38045,1,0.642857143
N,Ying Massage Clinic LLC,39,HILLSBOROUGH,yingmassageclinic@gmail.com,8/31/21,,39088,CLEAR,917,TAMPA,4644 W Gandy Blvd,,385-5351,FL,33611,unit 8,2/15/19,TAMPA,4644 unit 8 W Gandy Blvd,FL,33611,,N,Massage Establishment,MM,2/15/19,"4644 unit 8 W Gandy Blvd, TAMPA, FL 33611",Florida,Hillsborough County,United States,"4644 W Gandy Blvd, Tampa, FL 33611, USA",27.8929822,Tampa,-82.5242656,OK,Sun Bay South,33611,3305,West Gandy Boulevard,4644,,27.89298:-82.52427,27.89298:-82.52427#,massage,40830,1,0.653061224
N,T & P LLC,16,BROWARD,tungvo85@gmail.com,8/31/19,,37377,CLEAR,954,FORT LAUDERDALE,3085 E COMMERCIAL BLVD,,772-0205,FL,33308,,11/30/17,FORT LAUDERDALE,3085 E COMMERCIAL BLVD,FL,33308,,N,Massage Establishment,MM,11/30/17,"3085 E COMMERCIAL BLVD, FORT LAUDERDALE, FL 33308",Florida,Broward County,United States,"3085 E Commercial Blvd, Fort Lauderdale, FL 33308, USA",26.1903821,Fort Lauderdale,-80.1043762,OK,North Fort Lauderdale,33308,,East Commercial Boulevard,3085,,26.19038:-80.10438,26.19038:-80.10438#,massage,38955,1,0.661016949
N,ORIENTAL ACUPRESSURE AND SPA CENTER INC,16,BROWARD,youngmeicpa@gmail.com,8/31/19,,34264,CLEAR,,NORTH LAUDERDALE,3601 W COMMERCIAL BLVD SUITE 3,,,FL,33309,,10/2/15,NORTH LAUDERDALE,3601 W COMMERCIAL BLVD SUITE 3,FL,33069,,N,Massage Establishment,MM,10/2/15,"3601 W COMMERCIAL BLVD SUITE 3, NORTH LAUDERDALE, FL 33069",Florida,Broward County,United States,"3601 W Commercial Blvd #3, Fort Lauderdale, FL 33309, USA",26.1876484,Fort Lauderdale,-80.196839,OK,North Fort Lauderdale,33309,,West Commercial Boulevard,3601,3,26.18765:-80.19684,26.18765:-80.19684#3,massage,34766,1,0.666666667
Y,LUCKY  MASSAGE,26,DUVAL,15001364823@163.com,8/31/19,,34163,CLEAR,,JACKSONVILLE,4195 SOUTHSIDE BLVD STE 103,,,FL,32216,,9/16/15,JACKSONVILLE,4195 SOUTHSIDE BLVD STE 103,FL,32216,,N,Massage Establishment,MM,6/14/19,"4195 SOUTHSIDE BLVD STE 103, JACKSONVILLE, FL 32216",Florida,Duval County,United States,"4195 Southside Blvd #103, Jacksonville, FL 32216, USA",30.2702589,Jacksonville,-81.5582487,OK,Windy Hill,32216,,Southside Boulevard,4195,103,30.27026:-81.55825,30.27026:-81.55825#103,massage,34263,1,0.666666667
N,XIAOXIAO INC.,62,PINELLAS,520056862@qq.com,8/31/21,,29664,CLEAR,727,CLEARWATER,2787 GULF TO BAY BLVD,,953-7882,FL,33759,,8/23/12,CLEARWATER,2787 GULF TO BAY BLVD,FL,33759,,N,Massage Establishment,MM,8/23/12,"2787 GULF TO BAY BLVD, CLEARWATER, FL 33759",Florida,Pinellas County,United States,"2787 Gulf to Bay Blvd, Clearwater, FL 33759, USA",27.9602114,Clearwater,-82.7218979,OK,,33759,,Gulf to Bay Boulevard,2787,,27.96021:-82.72190,27.96021:-82.72190#,massage,29462,1,0.675
N,"FLOURISHING VENTURES, LLC",53,MARTIN,palmtreemassage@hotmail.com,8/31/19,,31981,CLEAR,772,STUART,209 SW FEDERAL HIGHWAY,,266-4810,FL,34994,,1/30/14,STUART,209 SW FEDERAL HIGHWAY,FL,34994,,N,Massage Establishment,MM,1/30/14,"209 SW FEDERAL HIGHWAY, STUART, FL 34994",Florida,Martin County,United States,"209 SW Federal Hwy, Stuart, FL 34994, USA",27.1987651,Stuart,-80.2565397,OK,,34994,,Southwest Federal Highway,209,,27.19877:-80.25654,27.19877:-80.25654#,massage,31937,1,0.705882353
N,HEALTH & LIFESTYLE LLC,23,MIAMI-DADE,orientahealth@hotmail.com,8/31/21,,36463,CLEAR,,MIAMI,10471 sw 40 street,,,FL,33165,,4/7/17,MIAMI,10471 SW 40TH ST,FL,33165,,N,Massage Establishment,MM,4/7/17,"10471 SW 40TH ST, MIAMI, FL 33165",Florida,Miami-Dade County,United States,"10471 SW 40th St, Miami, FL 33165, USA",25.731571,Miami,-80.3654517,OK,,33165,,Southwest 40th Street,10471,,25.73157:-80.36545,25.73157:-80.36545#,massage,37200,1,0.730769231
N,MILTON MASSAGE & SPA INC,67,SANTA ROSA,miltonmassagespa@gmail.com,8/31/21,,35857,CLEAR,850,MILTON,5807 HWY 90,,791-0959,FL,32583,,10/26/16,MILTON,5807 HWY 90,FL,32583,,N,Massage Establishment,MM,10/26/16,"5807 HWY 90, MILTON, FL 32583",Florida,Santa Rosa County,United States,"5807 US-90, Milton, FL 32583, USA",30.6022003,Milton,-87.0813317,OK,,32583,1739,U.S. 90,5807,,30.60220:-87.08133,30.60220:-87.08133#,massage,36575,1,0.75
N,Xin Shen Ti Massage One Corp,60,PALM BEACH,youngmeicpa@gmail.com,8/31/19,,36414,CLEAR,561,DELRAY BEACH,84 NE 5TH AVE,,699-7886,FL,33483,,3/27/17,DELRAY BEACH,84 NE 5TH AVE,FL,33483,,N,Massage Establishment,MM,3/27/17,"84 NE 5TH AVE, DELRAY BEACH, FL 33483",Florida,Palm Beach County,United States,"84 NE 5th Ave, Delray Beach, FL 33483, USA",26.4631939,Delray Beach,-80.0683057,OK,,33483,,Northeast 5th Avenue,84,,26.46319:-80.06831,26.46319:-80.06831#,massage,37197,1,0.75
N,ASIAN MASSAGE,46,LEE,hongpengzhou@ymail.com,8/31/19,,25338,CLEAR,239,FORT MYERS,2422 CRYSTAL DR,,274-0858,FL,33907,,8/3/10,FORT MYERS,2012 BEACON MANOR DR,FL,33907,,N,Massage Establishment,MM,8/3/10,"2012 BEACON MANOR DR, FORT MYERS, FL 33907",Florida,Lee County,United States,"2012 Beacon Manor Dr, Fort Myers, FL 33907, USA",26.5733546,Fort Myers,-81.8709018,OK,,33907,3047,Beacon Manor Drive,2012,,26.57335:-81.87090,26.57335:-81.87090#,massage,24629,1,0.75
N,TRUE MASSAGE LLC,16,BROWARD,angel@jalaccounting.com,8/31/19,,34889,CLEAR,626,HOLLYWOOD,3363 SHERIDAN ST,,246-4875,FL,33021,SUITE 214,2/22/16,FORT LAUDERDALE,1388 SE 17TH STREET,FL,33316,,N,Massage Establishment,MM,2/22/16,"1388 SE 17TH STREET, FORT LAUDERDALE, FL 33316",Florida,Broward County,United States,"1388 SE 17th St, Fort Lauderdale, FL 33316, USA",26.0993107,Fort Lauderdale,-80.1286869,OK,Harbordale,33316,1708,Southeast 17th Street,1388,,26.09931:-80.12869,26.09931:-80.12869#,massage,35032,1,0.76
N,QQ THERAPEUTIC MASSAGE LLC,58,ORANGE,qiu311147@gmail.com,8/31/15,,29185,Null & Void,,ORLANDO,8865 COMMODITY CIRCLE SUITE 10,,,FL,32819,,5/8/12,ORLANDO,8865 COMMODITY CIRCLE SUITE 10,FL,32819,,N,Massage Establishment,MM,4/4/16,"8865 COMMODITY CIRCLE SUITE 10, ORLANDO, FL 32819",Florida,Orange County,United States,"8865 Commodity Cir #10, Orlando, FL 32819, USA",28.442358,Orlando,-81.428457,OK,,32819,,Commodity Circle,8865,10,28.44236:-81.42846,28.44236:-81.42846#10,massage,29125,1,0.763157895
N,JACOBSEN LEAF INC,58,ORANGE,chengmeijiang4635@gmail.com,8/31/19,,34258,CLEAR,,ORLANDO,5671 VINELAND RD,,,FL,32819,,10/1/15,ORLANDO,5671 VINELAND RD,FL,32819,,N,Massage Establishment,MM,10/1/15,"5671 VINELAND RD, ORLANDO, FL 32819",Florida,Orange County,United States,"5671 Vineland Rd, Orlando, FL 32819, USA",28.4835702,Orlando,-81.4563724,OK,Southwest Orlando,32819,,Vineland Road,5671,,28.48357:-81.45637,28.48357:-81.45637#,massage,34741,1,0.772727273
N,SECRET GARDEN COUPLES MASSAGE,62,PINELLAS,seaflowersalon@gmail.com,8/31/19,,34547,CLEAR,727,CLEARWATER,819 COURT STREET,,744-6065,FL,33756,,11/24/15,CLEARWATER,819 COURT STREET,FL,33756,,N,Massage Establishment,MM,11/24/15,"819 COURT STREET, CLEARWATER, FL 33756",Florida,Pinellas County,United States,"819 Court St, Clearwater, FL 33756, USA",27.96161,Clearwater,-82.794681,OK,,33756,5501,Court Street,819,,27.96161:-82.79468,27.96161:-82.79468#,massage,34748,1,0.777777778
N,OASIS OF PEMBROKE PINES INC,16,BROWARD,angel@jalacct.com,8/31/19,,38826,CLEAR,,HOLLYWOOD,3363 SHERIDAN STREET,,,FL,33021,SUITE 214,12/6/18,PEMBROKE PINES,7857 PINES BLVD,FL,33024,,N,Massage Establishment,MM,12/6/18,"7857 PINES BLVD, PEMBROKE PINES, FL 33024",Florida,Broward County,United States,"7857 Pines Blvd, Pembroke Pines, FL 33024, USA",26.0105287,Pembroke Pines,-80.2453771,OK,,33024,,Pines Boulevard,7857,,26.01053:-80.24538,26.01053:-80.24538#,massage,40674,1,0.777777778
N,YU SPA,16,BROWARD,yunhu339@gmail.com,8/31/17,,33857,Null & Void,,DAVIE,4611 S UNIVERSITY DR. APT 177,,,FL,33328,,6/3/15,BOCA RATON,600 S DIXIE HWY SUITE 103A,FL,33432,,N,Massage Establishment,MM,3/15/18,"600 S DIXIE HWY SUITE 103A, BOCA RATON, FL 33432",Florida,Palm Beach County,United States,"600 S Dixie Hwy #103A, Boca Raton, FL 33432, USA",26.3439538,Boca Raton,-80.0881065,OK,,33432,6034,South Dixie Highway,600,103A,26.34395:-80.08811,26.34395:-80.08811#103A,massage,34139,1,0.785714286
N,ASIAN MASSAGE,47,LEON,yongli702@yahoo.com,8/31/19,,29875,CLEAR,,TALLAHASSEE,3220 APALCHEE PKWY #5,,,FL,32311,,10/9/12,TALLAHASSEE,3220 APALACHEE PKWY #5,FL,32311,,N,Massage Establishment,MM,10/9/12,"3220 APALACHEE PKWY #5, TALLAHASSEE, FL 32311",Florida,Leon County,United States,"3220 Apalachee Pkwy #5, Tallahassee, FL 32311, USA",30.428393,Tallahassee,-84.2212705,OK,,32311,,Apalachee Parkway,3220,5,30.42839:-84.22127,30.42839:-84.22127#5,massage,29769,1,0.789473684
N,TESLA RESEARCH CORP,23,MIAMI-DADE,christian.d.tapia2@gmail.com,8/31/19,,33734,CLEAR,,MIAMI,8310 SW 29 ST,,,FL,33155,,5/5/15,KEY LARGO,103100 OVERSEAS HIGHWAY,FL,33037,UNIT 11,N,Massage Establishment,MM,5/5/15,"103100 OVERSEAS HIGHWAY, KEY LARGO, FL 33037",Florida,Monroe County,United States,"103100 Overseas Hwy, Key Largo, FL 33037, USA",25.1332604,Key Largo,-80.4069125,OK,,33037,,Overseas Highway,103100,,25.13326:-80.40691,25.13326:-80.40691#,massage,33991,1,0.793103448
N,TAO WELLNESS CENTER INC,45,LAKE,huihuang67@yahoo.com,8/31/17,,32992,VOL-RELINQ,352,TAVARES,334 W BURLEIGH BLVD,,988-9427,FL,32778,,10/23/14,TAVARES,334 W BURLEIGH BLVD,FL,32778,,N,Massage Establishment,MM,2/9/16,"334 W BURLEIGH BLVD, TAVARES, FL 32778",Florida,Lake County,United States,"334 W Burleigh Blvd, Tavares, FL 32778, USA",28.8116199,Tavares,-81.7309807,OK,,32778,,West Burleigh Boulevard,334,,28.81162:-81.73098,28.81162:-81.73098#,massage,33200,1,0.8
N,HOLLYWOOD INSTUTUTE OF BEAUTY CAREERS,16,BROWARD,corporatecompliance@hi.edu,8/31/21,,30427,CLEAR,954,HOLLYWOOD,420 S STATE ROAD 7,,922-5505,FL,33023,,2/13/13,WEST PALM BEACH,7587 S DIXIE HWY,FL,33405,,N,Massage Establishment,MM,2/13/13,"7587 S DIXIE HWY, WEST PALM BEACH, FL 33405",Florida,Palm Beach County,United States,"7587 S Dixie Hwy, West Palm Beach, FL 33405, USA",26.6494671,West Palm Beach,-80.0573891,OK,Parker Ridge,33405,,South Dixie Highway,7587,,26.64947:-80.05739,26.64947:-80.05739#,massage,30329,1,0.8
N,SUNSHINE Q LLC,23,MIAMI-DADE,kvn_williams@yahoo.com,8/31/19,,30263,CLEAR,,MIAMI,4630 NW 7TH ST,,,FL,33126,,1/8/13,MIAMI,4630 NW 7TH ST,FL,33126,,N,Massage Establishment,MM,11/3/15,"4630 NW 7TH ST, MIAMI, FL 33126",Florida,Miami-Dade County,United States,"4630 NW 7th St, Miami, FL 33126, USA",25.7784656,Miami,-80.2713548,OK,Flagami,33126,2309,Northwest 7th Street,4630,,25.77847:-80.27135,25.77847:-80.27135#,massage,30245,1,0.804347826
N,OCEAN Q LLC,53,MARTIN,sparrowliu@yahoo.com,8/31/13,,29150,Null & Void,407,STUART,2843 NW FEDERAL HIGHWAY,,350-1761,FL,34994,,5/1/12,STUART,2843 NW FEDERAL HIGHWAY,FL,34994,,N,Massage Establishment,MM,3/17/14,"2843 NW FEDERAL HIGHWAY, STUART, FL 34994",Florida,Martin County,United States,"2843 NW Federal Hwy, Stuart, FL 34994, USA",27.2398429,Stuart,-80.2695258,OK,,34994,9252,Northwest Federal Highway,2843,,27.23984:-80.26953,27.23984:-80.26953#,massage,28283,1,0.80952381
N,"GOG UMAGOG, INC",23,MIAMI-DADE,galori@me.com,8/31/19,,35513,CLEAR,786,MIAMI,1749 NE MIAMI CT.,,271-5651,FL,33132,APT 207,8/5/16,HOLLYWOOD,2451 N. 59TH TERRACE,FL,33021,,N,Massage Establishment,MM,8/5/16,"2451 N. 59TH TERRACE, HOLLYWOOD, FL 33021",Florida,Broward County,United States,"2451 N 59th Terrace, Hollywood, FL 33021, USA",26.0319147,Hollywood,-80.2064774,OK,441 Corridor,33021,3266,North 59th Terrace,2451,,26.03191:-80.20648,26.03191:-80.20648#,massage,35846,1,0.8125
N,"OASIS BODYWORKS CENTRAL, LLC",23,MIAMI-DADE,januszzz@aol.com,8/31/21,,28120,CLEAR,305,MIAMI,7025 NE 2ND AVENUE,,754-7171,FL,33138,,11/4/11,MIAMI,204 NE 71 STREET,FL,33138,,N,Massage Establishment,MM,11/4/11,"204 NE 71 STREET, MIAMI, FL 33138",Florida,Miami-Dade County,United States,"204 NE 71st St, Miami, FL 33138, USA",25.8399651,Miami,-80.1922795,OK,Little Haiti,33138,5528,Northeast 71st Street,204,,25.83997:-80.19228,25.83997:-80.19228#,massage,27995,1,0.814814815
N,Z MASSAGE SPA OF ORLANDO LLC,58,ORANGE,snoopy777us@hotmail.com,8/31/21,,36013,CLEAR,,WINDERMERE,8256 MARITIME FLAG STREET,,,FL,34786,APT 1716,12/7/16,ORLANDO,6151 WESTWOOD BLVD,FL,32821,,N,Massage Establishment,MM,12/7/16,"6151 WESTWOOD BLVD, ORLANDO, FL 32821",Florida,Orange County,United States,"6151 Westwood Blvd, Orlando, FL 32821, USA",28.4201303,Orlando,-81.4620264,OK,,32821,8083,Westwood Boulevard,6151,,28.42013:-81.46203,28.42013:-81.46203#,massage,36709,1,0.822580645
N,KING HEALTH CENTER LLC,58,ORANGE,drgaryking@kinghealthcenter.com,8/31/19,,17892,CLEAR,407,ORLANDO,7429 CONROY-WINDERMERE RD,,895-8555,FL,32835,,2/16/06,ORLANDO,7429 CONROY-WINDERMERE RD,FL,32835,,N,Massage Establishment,MM,9/8/11,"7429 CONROY-WINDERMERE RD, ORLANDO, FL 32835",Florida,Orange County,United States,"7429 Conroy Windermere Rd, Orlando, FL 32835, USA",28.4941609,Orlando,-81.4818513,OK,,32835,,Conroy Windermere Road,7429,,28.49416:-81.48185,28.49416:-81.48185#,massage,16999,1,0.833333333
N,SOFT HANDS ORIENTAL MASSAGE,23,MIAMI-DADE,,8/31/19,,23802,CLEAR,305,SUNNY ISLES BEACH,16950 N BAY RD,,917-0191,FL,33160,APT 1401,10/16/09,NORTH MIAMI BEACH,16119 BISCAYNE BLVD,FL,33160,,N,Massage Establishment,MM,10/16/09,"16119 BISCAYNE BLVD, NORTH MIAMI BEACH, FL 33160",Florida,Miami-Dade County,United States,"16119 Biscayne Blvd, Aventura, FL 33160, USA",25.9241755,Aventura,-80.1536519,OK,,33160,4337,Biscayne Boulevard,16119,,25.92418:-80.15365,25.92418:-80.15365#,massage,23020,1,0.833333333
N,OCEAN MASSAGE STAR LAKELAND LLC,63,POLK,oceanmassagestar@gmail.com,8/31/19,,34162,CLEAR,,LAKELAND,127 E ALAMO DR,,,FL,33813,,9/16/15,LAKELAND,127 E Alamo Drive,FL,33813,,N,Massage Establishment,MM,9/16/15,"127 E Alamo Drive, LAKELAND, FL 33813",Florida,Polk County,United States,"127 E Alamo Dr, Lakeland, FL 33813, USA",27.9817986,Lakeland,-81.9563037,OK,,33813,,East Alamo Drive,127,,27.98180:-81.95630,27.98180:-81.95630#,massage,34638,1,0.85
N,ALL MASSAGE AND SPA,38,HIGHLANDS,rosanna@fadleylaw.com,8/31/21,,33444,CLEAR,,SEBRING,1121 U.S. 27 S,,,FL,33870,,2/27/15,SEBRING,1121 U.S. 27 S,FL,33870,,N,Massage Establishment,MM,2/27/15,"1121 U.S. 27 S, SEBRING, FL 33870",Florida,Highlands County,United States,"1121 US-27, Sebring, FL 33870, USA",27.4730712,Sebring,-81.4688164,OK,,33870,,U.S. 27,1121,,27.47307:-81.46882,27.47307:-81.46882#,massage,33664,1,0.857142857
Y,ALBENA SPA,16,BROWARD,eumassage@aol.com,8/31/19,,10806,PROBATION,954,FT LAUDERDALE,3364 NE 34TH STREET,,564-3141,FL,33308,,2/16/01,FT LAUDERDALE,3364 NE 34TH STREET,FL,33308,,N,Massage Establishment,MM,1/31/18,"3364 NE 34TH STREET, FT LAUDERDALE, FL 33308",Florida,Broward County,United States,"3364 NE 34th St, Fort Lauderdale, FL 33308, USA",26.1696896,Fort Lauderdale,-80.1009578,OK,East Fort Lauderdale,33308,,Northeast 34th Street,3364,,26.16969:-80.10096,26.16969:-80.10096#,massage,9256,1,0.857142857
N,L&b Entrepenour Services Inc,68,SARASOTA,wenxinspa1@gmail.com,8/31/19,,37351,CLEAR,239,SARASOTA,2196 Gulf Gate DR,,450-2283,FL,34231,,11/27/17,SARASOTA,2196 GULF GATE DR,FL,34231,,N,Massage Establishment,MM,11/27/17,"2196 GULF GATE DR, SARASOTA, FL 34231",Florida,Sarasota County,United States,"2196 Gulf Gate Dr, Sarasota, FL 34231, USA",27.2585185,Sarasota,-82.5172715,OK,,34231,,Gulf Gate Drive,2196,,27.25852:-82.51727,27.25852:-82.51727#,massage,38925,1,0.869565217
