Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
SEATTLE ANIMAL MASSAGE LLC,604 204 357,WA LIMITED LIABILITY COMPANY,"1733 30TH AVE S, SEATTLE, WA, 98144-4860, UNITED STATES",KATHY SEBRING,Active
SEATTLE CHINATOWN MASSAGE SPA LLC,603 381 358,WA LIMITED LIABILITY COMPANY,"676 S JACKSON ST, SEATTLE, WA, 98104, UNITED STATES",CHUNJIE REDMAN,Administratively Dissolved
"SEATTLE CLINICAL MASSAGE SCHOOL, LLC",604 469 906,WA LIMITED LIABILITY COMPANY,"619 N 35TH ST STE 330M, SEATTLE, WA, 98103-8659, UNITED STATES",NORTHWEST ACADEMY FOR THE HEALING ARTS,Active
"SEATTLE EQUESTRIAN MASSAGE, L.L.C.",603 002 625,WA LIMITED LIABILITY COMPANY,"7018 LINDEN AVE. N, SEATTLE, WA, 98103, UNITED STATES",KYLE PUTNAM,Voluntarily Dissolved
"SEATTLE MARVELOUS MASSAGE THERAPY, P.L.L.C.",602 622 694,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"SEATTLE MARVELOUS MASSAGE, P.L.L.C.",602 622 679,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"145 NW 85TH ST # 102, SEATTLE, WA, 98117, UNITED STATES",LILLI EWING,Inactive
"SEATTLE MASSAGE & WELLNESS ASSOCIATES-JESSICA A. LOW, LMP, LLC",603 128 370,WA LIMITED LIABILITY COMPANY,,JESSICALOW,Administratively Dissolved
SEATTLE MASSAGE PRO LLC,604 457 073,WA LIMITED LIABILITY COMPANY,"2818 E MADISON ST, SEATTLE, WA, 98112-4841, UNITED STATES",AMBER MYERS,Active
SEATTLE NEUROMUSCULAR MASSAGE PLLC,602 335 107,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"5029 ROOSEVELT WAY NE, SEATTLE, WA, 98105-3600, UNITED STATES",SUSAN G WERKEMA,Active
SEATTLE PORTABLE MASSAGE INC.,602 297 660,WA PROFIT CORPORATION,,TERRIE ANN WEISKOPFF,Inactive
"SEATTLE SPORT MASSAGE, LLC",604 498 831,WA LIMITED LIABILITY COMPANY,"6001 S COOPER ST, SEATTLE, WA, 98118-5840, UNITED STATES",MEGHAN DILLON,Active
"SEATTLE SPORTS & THERAPEUTIC MASSAGE, LLC",601 974 704,WA LIMITED LIABILITY COMPANY,"21810 1ST PL W, SUITE 103, BOTHELL, WA, 98021, UNITED STATES",BRANDI A AUBREY,Active
"SEATTLE WELL MAMA MASSAGE, LLC",603 131 219,WA LIMITED LIABILITY COMPANY,"1800 NW MARKET ST, STE 200, SEATTLE, WA, 98107-3900, UNITED STATES",JENNIFER BOELTER,Delinquent
SELAH MASSAGE STUDIO LLC,604 319 718,WA LIMITED LIABILITY COMPANY,"102 23RD AVE SE STE A, PUYALLUP, WA, 98372-4501, UNITED STATES",LYNETTA ZIVKOVIC,Active
SELAH MASSAGE STUDIOS LLC,604 319 718,,,,
SELAH THERAPEUTIC MASSAGE LLC,602 957 360,WA LIMITED LIABILITY COMPANY,"1710 W MAIN ST STE 213, BATTLE GROUND, WA, 98604-4318, UNITED STATES",KATHERINE ROGERS,Delinquent
"SELF BALANCE MASSAGE, LLC",603 607 656,WA LIMITED LIABILITY COMPANY,"5115 NE 94TH AVE STE D, VANCOUVER, WA, 98662, UNITED STATES",TERESA BONAWITZ,Administratively Dissolved
SELF CENTERED MASSAGE STUDIO PLLC,603 503 246,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1102 A ST STE 502, TACOMA, WA, 98402-5001, UNITED STATES",JOELLE THOMPSON,Active
"SELMANN MASSAGE, LLC",603 493 527,WA LIMITED LIABILITY COMPANY,"23703 MERIDIAN PL W, BOTHELL, WA, 98021, UNITED STATES",STEPHANIE SELMANN,Administratively Dissolved
SEN THAI MASSAGE LLC,604 342 020,WA LIMITED LIABILITY COMPANY,"3717 CALIFORNIA AVE SW, SUITE102B, SEATTLE, WA, 98116-3776, UNITED STATES",BRITTANY QUON,Active
"SERENDIPITY MASSAGE BY LAURA, LLC",604 505 754,WA LIMITED LIABILITY COMPANY,"6000 STOCKTON ST SE, LACEY, WA, 98513-4110, UNITED STATES",SERENDIPITY MASSAGE BY LAURA,Active
SERENE AWAKENING MASSAGE LLC,602 993 427,WA LIMITED LIABILITY COMPANY,,SHAWNA A TAFOYA,Inactive
SERENE HARBOR MASSAGE LLC,603 345 932,WA LIMITED LIABILITY COMPANY,,JENNY L CLARK,Administratively Dissolved
SERENE LAKE MASSAGE THERAPY INC.,601 845 490,WA PROFIT CORPORATION,"4803 84TH ST SW, MUKILTEO, WA, 98275, UNITED STATES",CHAD TRIPLETT,Active
SERENE MYOTHERAPY & MASSAGE LLC,604 309 939,WA LIMITED LIABILITY COMPANY,"4100 PILATUS AVE SE, LACEY, WA, 98503-3563, UNITED STATES",KEIKO DIRAR,Active
"SERENE REJUVENATION MASSAGE THERAPY, L.L.C.",603 087 446,WA LIMITED LIABILITY COMPANY,"12715 103RD AVE E STE D401, GRAHAM, WA, 98338, UNITED STATES",COLLEEN M SMITH,Administratively Dissolved
"SERENE SPACE THERAPEUTIC MASSAGE, LLC",604 499 397,WA LIMITED LIABILITY COMPANY,"126 RAGLAND RD, LONGVIEW, WA, 98632-9116, UNITED STATES",STACEY WELKER,Active
SERENEBIRD MASSAGE LLC,602 482 123,,,,
SERENEBIRD MASSAGE PLLC,602 482 123,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1026 E 49TH ST, TACOMA, WA, 98404-2800, UNITED STATES",KIA M KING,Active
SERENITY CREEK HEALING MASSAGE INC,603 155 628,WA PROFIT CORPORATION,"8514 W GAGE BLVD #F28, KENNEWICK, WA, 99336, UNITED STATES",RHONDA K PAREDES,Administratively Dissolved
SERENITY FULL BODY SPA & MASSAGE INC.,603 280 901,WA PROFIT CORPORATION,,SERENITY FULL BOFY SPA & MASSAGE,Administratively Dissolved
"SERENITY HOLISTIC HEALTH & MASSAGE, LLC",602 511 329,WA LIMITED LIABILITY COMPANY,"1919 N PEARL STE A 4, TACOMA, WA, 98406, UNITED STATES",MEGAN DONGLAS,Administratively Dissolved
"SERENITY MASSAGE & WELLNESS, LLC",602 235 179,WA LIMITED LIABILITY COMPANY,"220 M ST NE, AUBURN, WA, 98002-4427, UNITED STATES",APRIL M PARKER,Active
SERENITY MASSAGE 8081 LLC,604 207 756,WA LIMITED LIABILITY COMPANY,"7002 TACOMA MALL BLVD STE B, TACOMA, WA, 98409-6623, UNITED STATES",JEAN CHOU,Administratively Dissolved
"SERENITY MASSAGE AND BODY WORKS, LLC",602 514 545,WA LIMITED LIABILITY COMPANY,"19655 1ST AVE S # 201, NORMANDY PARK, WA, 98148, UNITED STATES",CARMEN BRYSON,Administratively Dissolved
SERENITY MASSAGE AND DAY SPA LLC,602 691 645,WA LIMITED LIABILITY COMPANY,"7200 W NOBHILL #11B, YAKIMA, WA, 98908, UNITED STATES",DEBRA MOODY,Inactive
SERENITY MASSAGE LLC,604 070 619,WA LIMITED LIABILITY COMPANY,"13921 MERIDIAN E STE # 207, PUYALLUP, WA, 98373, UNITED STATES",TARRAH BECHLER,Administratively Dissolved
"SERENITY MASSAGE THERAPY, L.L.C.",602 349 219,WA LIMITED LIABILITY COMPANY,"15220 SE 272ND STE D, KENT, WA, 98042, UNITED STATES",BECKY ELDER,Inactive
"SERENITY MASSAGE, LLP",602 191 337,WA LIMITED LIABILITY PARTNERSHIP,,,Inactive
"SERENITY MASSAGE, PLLC",604 491 375,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"328 W 4TH ST, NEWPORT, WA, 99156-9094, UNITED STATES",UNITED STATES  CORPORATION AGENTS INC,Active
SERENITY MEDICAL MASSAGE & BODYWORK LLC.,604 018 094,WA LIMITED LIABILITY COMPANY,"24121 NE 140TH ST, DUVALL, WA, 98019, UNITED STATES",SERENITY MEDICAL MASSAGE & BODYWORK LLC,Active
SERENITY MOBILE MASSAGE PLLC,604 362 055,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"612 LINDSTROM ST, ABERDEEN, WA, 98520-8555, UNITED STATES",ALYSSA MILES,Active
"SERENITY NOW MASSAGE, LLC",603 157 344,,,,
SERENITY OFFICE MASSAGE LLC,602 959 105,WA LIMITED LIABILITY COMPANY,"12345 ROOSEVELT WAY NE #207, SEATTLE, WA, 98125, UNITED STATES",SAMIR SHAUNAK,Inactive
"SERENITY SPA AND MASSAGE, INCORPORATED",603 086 336,WA PROFIT CORPORATION,"1727 E. FRANCIS, SPOKANE, WA, 99207, UNITED STATES",TRACY GYLLENHAMMER,Administratively Dissolved
"SETTERLUND WELLNESS MASSAGE, L.L.C.",603 089 272,WA LIMITED LIABILITY COMPANY,"1313 TAYLOR AVE, BELLINGHAM, WA, 98225, UNITED STATES",RAQUEL SETTERLUND,Administratively Dissolved
"SEVEN HILLS MASSAGE, LLC",603 043 419,WA LIMITED LIABILITY COMPANY,"3001 SW GRAHAM ST, SEATTLE, WA, 98126, UNITED STATES",JOHN QUINN,Inactive
SHALOM MASSAGE AND WELLNESS LLC,604 004 847,WA LIMITED LIABILITY COMPANY,"12324 N ROUNDUP LN, MEAD, WA, 99021-9575, UNITED STATES",MICHELLE PHAY,Delinquent
SHANG HI MASSAGE LLC,603 384 274,WA LIMITED LIABILITY COMPANY,,LISAPHIPPS,Administratively Dissolved
"SHANGHAI MASSAGE & FOOT SPA, LLC",604 328 764,WA LIMITED LIABILITY COMPANY,"2800 MILTON WAY STE 8, MILTON, WA, 98354-9344, UNITED STATES","CHARLIE DANG INCOME TAX, INC.",Active
"SHANTI YOGA & MASSAGE, L.L.C.",602 905 464,WA LIMITED LIABILITY COMPANY,"636 E LAURIDSEN BLVD, PORT ANGELES, WA, 98362-7956, UNITED STATES",AMANDA SANDERS,Active
SHARI L. ALDRICH MASSAGE THERAPY CORP,602 620 326,WA PROFIT CORPORATION,"3185 VISTA VERDE LN SW, OLYMPIA, WA, 98512-1448, UNITED STATES",SHARI ALDRICH,Active
SHARON'S MOUNTAIN MASSAGE LLC,602 653 460,WA LIMITED LIABILITY COMPANY,"46290 BAKER LOOP RD, CONCRETE, WA, 98237-9335, UNITED STATES",SHARON KNIGHT,Inactive
SHE SHE MASSAGE LLC,604 159 948,WA LIMITED LIABILITY COMPANY,"7002 TACOMA MALL BLVD STE B, TACOMA, WA, 98409-6623, UNITED STATES",JEAN CHOU,Active
"SHELLEY'S MASSAGE, LLC",603 349 080,WA LIMITED LIABILITY COMPANY,"613 S WASHINGTON ST STE 203, SPOKANE, WA, 99204-2510, UNITED STATES",SHELLEY HOGAN,Active
SHIFT MASSAGE LLC,603 102 909,WA LIMITED LIABILITY COMPANY,"3417 EVANSTON AVE N STE 425, SEATTLE, WA, 98103-8970, UNITED STATES",SHIFT MASSAGE LLC,Administratively Dissolved
"SHIMMERING PALMS MASSAGE AND WELLNESS, PLLC",604 057 696,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"820 W 7TH AVE, SPOKANE, WA, 99204, UNITED STATES",WASHINGTON REGISTERED AGENT LLC,Active
SHINING STAR MASSAGE THERAPY LLC,602 750 090,WA LIMITED LIABILITY COMPANY,"1114 SW 146TH STREET, BURIEN, WA, 98166, UNITED STATES",TRACY LEMOINE,Administratively Dissolved
SHU SHUANG FOOT MASSAGE LLC,603 354 916,WA LIMITED LIABILITY COMPANY,"400 COOPER POINT RD SW STE 26, OLYMPIA, WA, 98502, UNITED STATES",JEAN CHOU,Administratively Dissolved
SHU YA FOOT MASSAGE LLC,603 146 994,WA LIMITED LIABILITY COMPANY,"2040 WESTLAKE AVE N STE 301A, SEATTLE, WA, 98109, UNITED STATES",YING SHEN,Administratively Dissolved
SIGNATURE MASSAGE LLC,603 295 723,WA LIMITED LIABILITY COMPANY,"624 W HASTINGS RD STE 14, SPOKANE, WA, 99218-2877, UNITED STATES",BREANNA ZEIS,Active
SIL VIANNAS MASSAGE & BEAUTY LLC,604 148 527,WA LIMITED LIABILITY COMPANY,"11815 NE HIGHWAY 99 STE C, VANCOUVER, WA, 98686-4008, UNITED STATES",SILVIANNA ALBARRAN,Active
SILKY RELAXATION MASSAGE LLC,602 354 500,WA LIMITED LIABILITY COMPANY,"41411 S MERIDIAN STE F, PUYALLUP, WA, 98373, UNITED STATES",ZITA PADGETT,Administratively Dissolved
"SILVER CREEK COTTAGE MASSAGE, LLC",602 852 135,WA LIMITED LIABILITY COMPANY,"2001 120TH PL. SE #3-105, EVERETT, WA, 98208, UNITED STATES",JANINE PARRIS,Administratively Dissolved
"SILVERHAND MASSAGE, PLLC",603 321 169,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,CHARLES MCGUFFEY,Administratively Dissolved
"SIMPLE TOUCH MASSAGE THERAPY, INC.",602 376 574,WA PROFIT CORPORATION,"2010 S WHIPPLE RD, SPOKANE, WA, 99206, UNITED STATES",GRANT W RIVA,Inactive
SIMPLICITY MASSAGE LLC,604 380 148,,,,
SIMPLICITY MASSAGE PLLC,604 380 148,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"16909 123RD AVE E, PUYALLUP, WA, 98374-9594, UNITED STATES",TRACY PINA,Active
SIMPLY HEALING CBD AND MASSAGE THERAPY LLC,604 455 961,WA LIMITED LIABILITY COMPANY,"207 N BENTON ST, KITTITAS, WA, 98934, UNITED STATES",UNITED STATES  CORPORATION AGENTS INC,Active
"SIMPLY MASSAGE, LLC",602 946 690,WA LIMITED LIABILITY COMPANY,"15204 MILITARY RD SE, TENINO, WA, 98589, UNITED STATES",MARY ADAMS,Delinquent
"SIMPLY WONDERFUL MASSAGE, LLC",603 032 826,WA LIMITED LIABILITY COMPANY,"5205 N. BOLIVAR RD., SPOKANE VALLEY, WA, 99216, UNITED STATES",NANCY EMBREE,Administratively Dissolved
SKY CHIROPRACTIC AND MASSAGE PS INC,603 395 404,WA PROFIT CORPORATION,"710A SOUTH 38TH STREET, TACOMA, WA, 98418, UNITED STATES",SKY BOULOM,Active
SKY VALLEY MASSAGE & SPA LLC,602 843 822,WA LIMITED LIABILITY COMPANY,"11014 201ST DR. SE, SNOHOMISH, WA, 98290, UNITED STATES",CAROL MCCOY,Delinquent
SMART MASSAGE PLLC,603 390 958,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"724 13TH AVE SE # 305, OLYMPIA, WA, 98501, UNITED STATES",DANIEL M STALLING,Administratively Dissolved
"SMOKEY POINT MASSAGE THERAPY, LLC",602 564 660,WA LIMITED LIABILITY COMPANY,"16404 SMOKEY POINT BLVD, STE 307, ARLINGTON, WA, 98223-8417, UNITED STATES",TAYLOR DODD,Active
"SNO-KING MASSAGE THERAPY, L.L.C.",601 884 412,WA LIMITED LIABILITY COMPANY,"8923 236TH ST SW, EDMONDS, WA, 98026-9508, UNITED STATES",MARY BRUBAKER,Active
SNOHOHOMISH COUNTY MASSAGE THERAPISTS NETWORK,604 171 359,WA NONPROFIT CORPORATION,"5649 UNIVERSITY WAY NE, SEATTLE, WA, 98105, UNITED STATES",SNOHOMISH COUNTY MASSAGE THERAPISTS NETWORK,Delinquent
SNOHOMISH ACUPUNCTURE AND MASSAGE LLC,603 239 340,WA LIMITED LIABILITY COMPANY,"1400 7TH ST STE #2, SNOHOMISH, WA, 98290, UNITED STATES",POLLY HEBERLE,Administratively Dissolved
"SNOHOMISH NATURAL HEALTH MASSAGE, PLLC",603 076 505,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"302 MAPLE AVE, SNOHOMISH, WA, 98290-2526, UNITED STATES",KAREN CHONZENA,Active
SOAR BACK MASSAGE LLC>,603 513 058,WA LIMITED LIABILITY COMPANY,"1200 HARRIS AVE #202, BELLINGHAM, WA, 98226, UNITED STATES",DANIEL MCPHADEN,Administratively Dissolved
SOJOURN THERAPEUTIC MASSAGE & WELLNESS LLC,604 285 080,WA LIMITED LIABILITY COMPANY,"610 5TH ST, MUKILTEO, WA, 98275-1504, UNITED STATES",NANCY SWANSON,Administratively Dissolved
SOLACE HEALING MASSAGE LLC,602 706 981,WA LIMITED LIABILITY COMPANY,"30 LAKESHORE PLAZA SUITE B, KIRKLAND, WA, 98033, UNITED STATES",LAURA LEE,Inactive
SOLACE MASSAGE LLC,603 500 060,WA LIMITED LIABILITY COMPANY,"820 REED ST, SUITE A, SEDRO WOOLLEY, WA, 98284-1165, UNITED STATES",AMY HANKINS,Active
"SOLACE NUTRITION BODYWORK MEDICAL MASSAGE, PS",602 916 819,WA PROFESSIONAL SERVICE CORPORATION,"7521 BRIDGEPORT WAY W, LAKEWOOD, WA, 98499, UNITED STATES",SUNG Y PAK,Inactive
SOLANA MASSAGE INC,602 777 168,WA PROFIT CORPORATION,"1406 SW KELLY AVE, CHEHALIS, WA, 98532, UNITED STATES",SUNNY GAUT,Inactive
"SOLAS MASSAGE & HEALING ARTS, LLC",603 344 823,WA LIMITED LIABILITY COMPANY,"19924 87TH ST SE, SNOHOMISH, WA, 98290-7265, UNITED STATES",LAUREL NICHOLSON MCCASLIN,Active
SOLTERRA MASSAGE PLLC,604 482 306,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1771 BOLLEANA AVE, RICHLAND, WA, 99352-7804, UNITED STATES",CRYSTAL MOKUAU,Active
SOMA RIGHT MASSAGE LLC,603 464 210,WA LIMITED LIABILITY COMPANY,"9262 57TH AVE S, SEATTLE, WA, 98118, UNITED STATES",TAMIKIA JONES,Active
SOMETHING SACRED MASSAGE PLLC,603 485 390,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3417 EVANSTON AVE N #317, SEATTLE, WA, 98103, UNITED STATES",AUDRA K SANDERHOFF,Administratively Dissolved
SONGBIRD MASSAGE AND WELLNESS LLC,604 141 977,WA LIMITED LIABILITY COMPANY,"18045 7TH AVE NE, SHORELINE, WA, 98155, UNITED STATES",ANNENELIA BACH,Delinquent
SONGBIRD MASSAGE LLC,603 122 965,WA LIMITED LIABILITY COMPANY,"5577 VANBARR PLACE, SUITE 3, FREELAND, WA, 98249, UNITED STATES",BOBBI MENNELLA,Administratively Dissolved
SONU MASSAGE & DAY SPA INC.,603 197 109,WA PROFIT CORPORATION,"4702 50TH AVE S, SEATTLE, WA, 98118, UNITED STATES",DENISE  COLEMAN,Administratively Dissolved
SORA MASSAGE LLC,604 166 165,WA LIMITED LIABILITY COMPANY,"14602 NE FOURTH PLAIN BLVD STE A, VANCOUVER, WA, 98682-5080, UNITED STATES",CARAN JOHNSON,Delinquent
SORENSEN MASSAGE LLC,603 086 736,WA LIMITED LIABILITY COMPANY,"532 N 5TH AVE, SEQUIM, WA, 98382-3079, UNITED STATES",JASON  JUDD,Active
"SOUL ESSENCE THERAPEUTIC MASSAGE, LLC",602 752 945,WA LIMITED LIABILITY COMPANY,"1412 NE 134 STREET SUITE 260, VANCOUVER, WA, 98685, UNITED STATES",KAREN WRIGHT,Administratively Dissolved
"SOUL FUSION TREATMENT MASSAGE, LLC",604 459 411,WA LIMITED LIABILITY COMPANY,"953 ROWE RD, CAMANO ISLAND, WA, 98282-8408, UNITED STATES",JENNIFER ANDERSON,Active
"SOUL MASSAGE, PLLC",603 295 392,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1547 NW 58TH ST, SEATTLE, WA, 98107, UNITED STATES",NICHOLE FARR,Administratively Dissolved
"SOUND ACUPUNCTURE & MASSAGE THERAPY, LLC",604 297 562,WA LIMITED LIABILITY COMPANY,"1720 3RD ST SE, PUYALLUP, WA, 98372-4505, UNITED STATES",ELENA LAER,Delinquent
SOUND ANIMAL MASSAGE LLC,603 210 806,WA LIMITED LIABILITY COMPANY,"1751 WATKINS ROAD, FREELAND, WA, 98249, UNITED STATES",VALARIE LADYMON,Active
SOUND BODY AND MIND MASSAGE LLC,602 966 534,WA LIMITED LIABILITY COMPANY,"920 ALDER AVE #207, SUMNER, WA, 98390, UNITED STATES",SHANNON MCEWEN,Inactive
SOUND COMFORT MASSAGE LLC,604 257 269,WA LIMITED LIABILITY COMPANY,"143 S 331ST PL, APT 706, FEDERAL WAY, WA, 98003-6379, UNITED STATES",ANNA MORRISON,Active
SOUND FOOT MASSAGE #2 LLC,604 200 988,WA LIMITED LIABILITY COMPANY,"485 RAINIER AVE S, UNIT C, RENTON, WA, 98057-2428, UNITED STATES",SOUND FOOT MASSAGE #2,Active
SOUND FOOT MASSAGE LLC,604 059 184,WA LIMITED LIABILITY COMPANY,"3929 BRIDGEPORT WAY W, UNIVERSITY PLACE, WA, 98467, UNITED STATES",YINGMIN ZHENG,Active
SOUND MASSAGE BY COLLEEN LLC,602 925 406,WA LIMITED LIABILITY COMPANY,"6830 BEL MOR CT SW, TUMWATER, WA, 98512, UNITED STATES",COLLEEN RUMSEY,Administratively Dissolved
"SOUND MASSAGE THERAPY, LLC",603 130 467,WA LIMITED LIABILITY COMPANY,"635 SW 154TH ST, BURIEN, WA, 98166-2220, UNITED STATES",LAURA  HUDDLESTONE,Active
"SOUND MASSAGE, LLC",602 128 087,,,,
"SOUND THERAPIES, LLC",602 128 087,WA LIMITED LIABILITY COMPANY,"3600 ARBOR DR SE, LACEY, WA, 98503-4802, UNITED STATES",CARLA FLYNN,Active
"SOUND WELLNESS MASSAGE, LLC",603 100 473,WA LIMITED LIABILITY COMPANY,"3417 EVANSTON AVE N, SUITE 227, SEATTLE, WA, 98103, UNITED STATES",CHRISTINA DEDERER,Active
SOUNDBLUE MASSAGE LLC,603 451 431,WA LIMITED LIABILITY COMPANY,"4124 SW 104TH ST, SEATTLE, WA, 98146, UNITED STATES",ADAM GRAMBO,Administratively Dissolved
"SOUNDVIEW MASSAGE, LLC",603 005 102,WA LIMITED LIABILITY COMPANY,"3126 12TH ST, EVERETT, WA, 98201, UNITED STATES",KARIN WESTERFIELD,Administratively Dissolved
SOUTH PARK ASIAN MASSAGE LLC,604 229 145,WA LIMITED LIABILITY COMPANY,"5223 SOUTH TACOMA WAY, TACOMA, WA, 98409-4318, UNITED STATES",KANGLI FUTCH,Voluntarily Dissolved
"SOUTH SOUND MASSAGE, PLLC",604 348 492,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6659 KIMBALL DR, STE B200, GIG HARBOR, WA, 98335-5152, UNITED STATES",KIMBERLY ANDERSON,Active
SOUTHCENTER MASSAGE LLC,603 240 265,WA LIMITED LIABILITY COMPANY,"596 INDUSTRY DRIVE #270, TUKWILA, WA, 98188, UNITED STATES",GEORGE TERAMOTO,Administratively Dissolved
"SOUTHCREEK THERAPEUTIC MASSAGE, INC.",601 719 676,WA PROFIT CORPORATION,,GINNINE WENISCH,Inactive
"SOUTHSOUND TREATMENT MASSAGE, PLLC",603 497 664,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"818 39TH AVE SW STE B, PUYALLUP, WA, 98373-3308, UNITED STATES",MELISSA BROWN,Active
"SPA PHOEBE, LLC",603 157 344,WA LIMITED LIABILITY COMPANY,"8844 29TH AVE SW, SEATTLE, WA, 98126, UNITED STATES",PHOEBE LIND,Delinquent
SPARED MASSAGE LLC,604 481 252,WA LIMITED LIABILITY COMPANY,"13819 PACIFIC AVE S, TACOMA, WA, 98444-4633, UNITED STATES",MYRIA AUVIL,Active
SPARKS MASSAGE LLC,602 837 572,WA LIMITED LIABILITY COMPANY,"16922 E 17TH CT, VERADALE, WA, 99037-5014, UNITED STATES",STEVEN SPARKS,Active
SPASIA MASSAGE LLC,604 121 298,WA LIMITED LIABILITY COMPANY,"315 NW 85TH ST #D, SEATTLE, WA, 98117, UNITED STATES",YINMAY SIU,Administratively Dissolved
SPIRIT HORSE EQUINE MASSAGE LLC,603 404 263,WA LIMITED LIABILITY COMPANY,"2310 N 46TH ST, SEATTLE, WA, 98103, UNITED STATES",ERIC FRIMODT,Active
"SPIRIT OF HEALING COUNSELING AND MASSAGE, LLC",602 895 674,WA LIMITED LIABILITY COMPANY,"1818 MAIN ST STE C, SUMNER, WA, 98390-1853, UNITED STATES",NANCY MELLOR,Active
"SPIRITWOLF MASSAGE, LLC",602 709 275,WA LIMITED LIABILITY COMPANY,"12423 4TH AVE W #6103, EVERETT, WA, 98204, UNITED STATES",TIM R GIPE,Inactive
"SPOKANE AQUA MASSAGE, INC.",602 244 791,WA PROFIT CORPORATION,,KELLY M KRELS,Inactive
"SPOKANE MASSAGE THERAPY, INC.",601 897 211,WA PROFIT CORPORATION,,KEVIN D O'ROURKE,Inactive
"SPOKANE WELLNESS MASSAGE, LLC",603 339 456,WA LIMITED LIABILITY COMPANY,"2426 S DISHMAN MICA RD STE 3, SPOKANE VLY, WA, 99206-6409, UNITED STATES",COURTNEY SPEAR,Active
"SPORTS MASSAGE NORTHWEST, INC.",603 152 026,WA PROFIT CORPORATION,"3701 PACIFIC AVE SE 331, OLYMPIA, WA, 98501, UNITED STATES",MARK BRONK,Active
SPORTS MASSAGE SPA LLC,604 446 605,,,,
SPOT ON MASSAGE NW LLC,604 346 647,WA LIMITED LIABILITY COMPANY,"9318 NE 146TH CIR, APT E207, BOTHELL, WA, 98011-4563, UNITED STATES",NICOLE SINRUD,Active
SPRING FOOT MASSAGE LLC,604 461 558,WA LIMITED LIABILITY COMPANY,"10225 198TH ST E STE B202, GRAHAM, WA, 98338-8027, UNITED STATES",HUNG KWONG,Active
SR MASSAGE LLC,604 314 649,,,,
SR MASSAGE PLLC,604 314 649,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"525 W MAPLE ST, MCCLEARY, WA, 98557, UNITED STATES","UNITED STATES  CORPORATION AGENTS, INC.",Active
"STANGER MASSAGE AND HEALTH CENTER, LLC",603 441 902,WA LIMITED LIABILITY COMPANY,"1677 GRANT ROAD, EAST WENATCHEE, WA, 98802, UNITED STATES",WENDY STANGER,Active
STAR MASSAGE LLC,604 203 263,WA LIMITED LIABILITY COMPANY,"901 W YAKIMA AVE STE 2B, YAKIMA, WA, 98902-3096, UNITED STATES",JEAN CHOU,Voluntarily Dissolved
STAR MASSAGE LLC,604 378 167,WA LIMITED LIABILITY COMPANY,"22208 MOUNTAIN HWY E UNIT D, SPANAWAY, WA, 98387-8587, UNITED STATES",FENGJUN TANG,Active
STARKA MASSAGE PLLC,603 260 435,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"19232 92ND AVE W, EDMONDS, WA, 98020, UNITED STATES",MARITA OHMAN SONNBACK,Active
"STAYCATION MASSAGE, LLC",603 522 527,WA LIMITED LIABILITY COMPANY,"261 NE MOE ST, POULSBO, WA, 98370, UNITED STATES",LAUREN WHEELER,Active
"STELLAR MASSAGE & BODYWORK, LLC",603 025 941,WA LIMITED LIABILITY COMPANY,"227 BROADWAY E, SEATTLE, WA, 98102, UNITED STATES",REBECCA BRIGHTLY,Inactive
"STILL LIFE MASSAGE AND FLOAT, P.S.",603 510 652,WA PROFESSIONAL SERVICE CORPORATION,"19 BELLWETHER WAY STE 101, BELLINGHAM, WA, 98225-2966, UNITED STATES",SHANNON FULLER,Active
STILL WATERS MASSAGE INC,602 662 017,WA PROFIT CORPORATION,"2701 BICKFORD AVE STE F, SNOHOMISH, WA, 98290, UNITED STATES",JENNIFER SEWELL,Administratively Dissolved
STILL WATERS MASSAGE INSTITUTE INC,603 011 948,WA PROFIT CORPORATION,"1800 BICKFORD AVE #309, SNOHOMISH, WA, 98290, UNITED STATES",JENNIFER SEWELL,Administratively Dissolved
STILLPOINT MASSAGE AND WELLNESS STUDIO LLC,603 099 585,WA LIMITED LIABILITY COMPANY,"14313 NE 20TH AVE, STE A114, VANCOUVER, WA, 98686-1485, UNITED STATES",SHAWNA TRIPLETT,Active
